SimpleID INATTENTIVE_RESP Q_TotalDurationSecs Gender Vehicles HomePark ModelYear Hybrid BuyLease UsedPurchaseYear VehPrice VehSize KnowMPG VehMPG Age Education License Occupation CommuteFullLength DriveCommute WorkParkFee HH_Head Income Kids Adolescent Adults Workers Zipcode HomeType scenario_num year scenario_year in_year choice gas_price ele_price gasveh_price gasveh_mpg gasveh_range gasveh_size hev_price hev_mpg hev_range hev_size bev_price bev_mpg bev_range bev_size curveh_price curveh_mpg curveh_range curveh_size curveh_model_year
51 1 806 2 3 2 1997 2 1 -99 -99 2 2 -99 3 3 1 3 -99 -99 -99 2 5 1 1 3 2 21742 6 13 2020 6 1 1 5.02 5.33 13000 40 0 0 28000 52 0 0 24000 148 100 0 -99 -97 -99 1 1997
51 1 806 2 3 2 1997 2 1 -99 -99 2 2 -99 3 3 1 3 -99 -99 -99 2 5 1 1 3 2 21742 6 14 2021 7 0 1 4.91 5.4 13000 38 0 0 24000 64 0 1 24000 141 120 0 -99 -97 -99 1 1997
51 1 806 2 3 2 1997 2 1 -99 -99 2 2 -99 3 3 1 3 -99 -99 -99 2 5 1 1 3 2 21742 6 15 2021 7 1 1 4.91 5.4 22000 34 0 1 43000 30 0 2 28000 141 105 0 -99 -97 -99 1 1997
51 1 806 2 3 2 1997 2 1 -99 -99 2 2 -99 3 3 1 3 -99 -99 -99 2 5 1 1 3 2 21742 6 16 2022 8 0 1 5.28 5.47 30000 44 0 1 35000 28 0 2 32000 124 150 1 -99 -97 -99 1 1997
51 1 806 2 3 2 1997 2 1 -99 -99 2 2 -99 3 3 1 3 -99 -99 -99 2 5 1 1 3 2 21742 6 17 2022 8 1 1 5.28 5.47 35000 22 0 2 32000 61 0 1 21000 124 140 0 -99 -97 -99 1 1997
52 1 215 2 2 1 2010 2 1 -99 -97 3 1 23 4 6 1 4 -99 -99 -99 1 5 2 2 2 2 -98 6 0 2014 0 0 2 3.75 4.75 35000 26 0 2 43000 30 0 2 28000 80 75 1 -97 23 -99 3 2010
52 1 215 2 2 1 2010 2 1 -99 -97 3 1 23 4 6 1 4 -99 -99 -99 1 5 2 2 2 2 -98 6 6 2017 3 0 2 4.62 5.11 28000 29 0 2 28000 30 0 2 21000 129 75 0 -97 23 -99 3 2014
52 1 215 2 2 1 2010 2 1 -99 -97 3 1 23 4 6 1 4 -99 -99 -99 1 5 2 2 2 2 -98 6 12 2020 6 0 3 5.4 5.46 22000 40 0 1 35000 36 0 2 20000 128 90 1 28000 29 -99 2 2017
53 1 875 2 3 2 2010 2 1 -99 15000 2 2 -99 5 3 1 2 35 1 0 1 2 1 1 2 2 21817 6 0 2014 0 0 3 3 5.25 18000 24 0 1 28000 50 0 1 18000 110 100 0 15000 -97 -99 2 2010
53 1 875 2 3 2 2010 2 1 -99 15000 2 2 -99 5 3 1 2 35 1 0 1 2 1 1 2 2 21817 6 6 2017 3 0 3 3.27 5.6 22000 30 0 1 20000 51 0 1 28000 139 100 0 15000 -97 -99 2 2014
